Date,Open,Close,Adj Close,Volume,High_Low
2021-04-29,2748.23,2757.04,2757.04,863890.01069,2798.0/2668.0
2021-04-30,2757.04,2772.42,2772.42,695339.20482,2798.3/2723.09
2021-05-01,2772.42,2944.77,2944.77,690260.07741,2954.28/2743.41
2021-05-02,2944.83,2949.56,2949.56,571982.5445,2985.0/2852.26
2021-05-03,2949.33,3431.04,3431.04,1329088.0628,3454.0/2949.32
2021-05-04,3431.04,3239.01,3239.01,1826039.38558,3527.0/3160.0
2021-05-05,3239.01,3524.26,3524.26,1174816.73588,3549.34/3200.23
2021-05-06,3524.33,3489.73,3489.73,920592.57706,3605.4/3376.47
2021-05-07,3489.74,3479.53,3479.53,760544.64781,3587.0/3353.23
2021-05-08,3479.79,3910.26,3910.26,1130467.54852,3958.33/3449.27
2021-05-09,3910.26,3923.95,3923.95,1000401.0082,3983.65/3726.08
2021-05-10,3923.95,3945.88,3945.88,1505897.92612,4208.0/3650.0
2021-05-11,3946.63,,4173.45,1095927.10403,4180.22/3771.64
2021-05-12,4173.46,3823.21,3823.21,1601842.74017,4372.72/3701.58
2021-05-13,3810.15,3717.91,3717.91,2068708.17427,4034.77/3500.0
2021-05-14,3717.92,4075.01,4075.01,1153390.42631,4173.28/3691.35
2021-05-15,4075.02,3646.68,3646.68,1039174.88082,4134.05/3632.0
2021-05-16,3646.24,3582.1,3582.1,1324065.65875,3879.0/3343.06
2021-05-17,3581.81,3282.51,3282.51,1904012.43998,3587.06/3102.0
2021-05-18,3282.25,3375.07,3375.07,1287110.84143,3565.71/3240.0
2021-05-19,3375.08,2438.92,2438.92,4309836.31939,3441.73/1888.0
2021-05-20,2438.92,2768.62,2768.62,2942777.9301,2990.05/2155.0
2021-05-21,2767.87,2430.98,2430.98,2727031.93514,2938.54/2101.0
2021-05-22,2430.98,2294.87,2294.87,1684318.01157,2485.0/2145.0
2021-05-23,2295.45,2096.39,2096.39,2914548.73125,2381.57/1728.74
2021-05-24,2096.63,2648.43,2648.43,2186632.92245,2675.0/2079.94
2021-05-25,2647.92,2705.11,2705.11,2115349.50445,2750.0/2378.54
2021-05-26,2705.1,2884.94,2884.94,1583799.59251,2910.0/2643.0
2021-05-27,2884.82,2742.23,2742.23,1099029.91206,2889.74/2633.68
2021-05-28,2742.23,2412.1,2412.1,1554584.61362,2762.45/2327.38
2021-05-29,2412.34,2278.74,2278.74,1379427.18851,2574.27/2204.1
2021-05-30,2278.74,,2385.98,1151113.19883,2476.42/2180.53
2021-05-31,2385.82,2706.15,2706.15,1307958.04068,2720.0/2271.44
2021-06-01,2706.15,2634.57,2634.57,1179577.10806,2740.0/2523.74
2021-06-02,2634.31,2706.22,2706.22,970070.53563,2802.99/2550.0
2021-06-03,2706.21,2857.25,2857.25,1024290.89423,2891.95/2662.4
2021-06-04,2857.25,2689.51,2689.51,1188314.11191,2860.0/2552.0
2021-06-05,2689.54,2627.73,2627.73,961824.12413,2816.87/2552.23
2021-06-06,2627.63,2711.92,2711.92,673792.69369,2745.0/2614.0
2021-06-07,2711.92,2592.05,2592.05,1152128.07856,2847.55/2570.0
2021-06-08,2592.05,2507.23,2507.23,1693747.42759,2620.99/2304.91
2021-06-09,2507.43,2610.18,2610.18,1276718.24011,2626.63/2405.28
2021-06-10,2610.2,2471.09,2471.09,741237.49926,2624.46/2425.11
2021-06-11,2471.01,,2354.01,587364.27358,2497.99/2321.37
2021-06-12,2354.09,2370.74,2370.74,767439.4984,2454.53/2256.22
2021-06-13,2370.64,2509.33,2509.33,715948.75986,2548.41/2308.41
2021-06-14,2509.33,2580.77,2580.77,684183.55622,2609.17/2461.0
2021-06-15,2580.58,2543.54,2543.54,599826.64933,2640.0/2507.7
2021-06-16,2543.55,2367.89,2367.89,624741.78358,2556.19/2351.18
2021-06-17,2368.02,2373.28,2373.28,560667.58566,2460.5/2306.0
2021-06-18,2373.28,2234.09,2234.09,778905.20197,2378.0/2139.0
2021-06-19,2234.09,2164.67,2164.67,496872.24997,2278.82/2161.67
2021-06-20,2165.34,2243.47,2243.47,743883.64741,2280.01/2040.68
2021-06-21,2243.49,1885.49,1885.49,1629819.66576,2260.16/1865.54
2021-06-22,1885.27,1879.28,1879.28,1695338.08052,1998.0/1700.48
2021-06-23,1879.29,1968.14,1968.14,918612.30494,2045.0/1821.95
2021-06-24,1967.95,1989.52,1989.52,701231.67478,2036.61/1884.79
2021-06-25,1989.53,1808.82,1808.82,858808.54767,2019.99/1791.22
2021-06-26,1808.97,1829.64,1829.64,832315.14904,1852.8/1717.32
2021-06-27,1829.84,1982.28,1982.28,696055.79307,1984.5/1804.26
2021-06-28,1982.27,2084.41,2084.41,1044244.68308,2145.0/1960.52
2021-06-29,2084.42,2165.33,2165.33,831257.23277,2245.0/2073.57
2021-06-30,2165.46,2275.68,2275.68,910583.6032,2287.78/2087.99
2021-07-01,2275.68,2106.41,2106.41,787865.25137,2275.93/2073.12
2021-07-02,2106.41,2154.13,2154.13,672282.37476,2160.0/2018.5
2021-07-03,2153.95,2226.99,2226.99,569264.801,2240.0/2112.01
2021-07-04,2226.99,2322.69,2322.69,590656.25069,2389.93/2189.58
2021-07-05,2322.69,2196.53,2196.53,781806.31605,2324.64/2157.32
2021-07-06,2196.85,2322.5,2322.5,785330.17152,2350.0/2193.0
2021-07-07,2322.51,2316.57,2316.57,666501.35572,2409.0/2291.9
2021-07-08,2316.25,2116.33,2116.33,880265.04124,2325.6/2084.79
2021-07-09,2116.32,2146.99,2146.99,738611.36304,2189.4/2046.51
2021-07-10,2146.99,2110.69,2110.69,499071.85904,2194.82/2074.16
2021-07-11,2110.68,2140.45,2140.45,342294.40302,2174.0/2081.02
2021-07-12,2140.54,2031.58,2031.58,540630.10742,2167.83/2006.68
2021-07-13,2031.57,1940.15,1940.15,647388.24969,2047.35/1918.0
2021-07-14,1940.44,1994.58,1994.58,690505.60937,2019.18/1865.0
2021-07-15,1994.41,1919.51,1919.51,645271.32563,2042.88/1881.0
2021-07-16,1919.54,1876.26,1876.26,577068.89724,1965.0/1850.0
2021-07-17,1876.47,1899.59,1899.59,430300.51578,1919.19/1844.45
2021-07-18,1899.5,1891.64,1891.64,534837.63654,1993.79/1877.1
2021-07-19,1891.65,1818.73,1818.73,547419.93771,1919.0/1805.0
2021-07-20,1818.73,1786.03,1786.03,786257.272,1841.34/1706.0
2021-07-21,1786.03,1995.5,1995.5,1115949.82033,2035.23/1747.55
2021-07-22,1995.5,2024.56,2024.56,768854.3659,2046.0/1947.62
2021-07-23,2024.27,2124.25,2124.25,708160.91322,2130.9/1993.22
2021-07-24,2124.26,2184.75,2184.75,633075.18592,2199.5/2105.58
2021-07-25,2184.9,2189.79,2189.79,535630.27,2197.41/2105.93
2021-07-26,2189.82,2228.08,2228.08,1393738.163,2433.65/2171.57
2021-07-27,2227.81,2299.49,2299.49,906359.23478,2319.26/2150.5
2021-07-28,2299.47,2300.9,2300.9,718202.57727,2345.0/2243.15
2021-07-29,2300.9,2382.92,2382.92,499364.83496,2400.0/2266.12
2021-07-30,2382.93,2461.81,2461.81,762577.28797,2471.7/2315.92
2021-07-31,2461.77,2531.05,2531.05,507601.05026,2553.86/2420.68
2021-08-01,2531.1,2555.69,2555.69,853495.94078,2697.61/2511.24
2021-08-02,2555.5,2606.93,2606.93,726701.84952,2666.0/2507.0
2021-08-03,2606.92,2509.04,2509.04,792960.84375,2632.44/2442.32
2021-08-04,2508.51,2724.78,2724.78,954590.7536,2772.71/2457.68
2021-08-05,2724.55,2826.99,2826.99,1307720.20654,2843.98/2529.91
2021-08-06,2827.01,2891.58,2891.58,825399.48637,2946.75/2720.06
2021-08-07,2891.54,3160.31,3160.31,1205277.10095,3171.0/2865.5
2021-08-08,3160.48,3011.85,3011.85,966349.70579,3189.99/2949.03
2021-08-09,3011.84,3160.52,3160.52,1129584.61614,3186.0/2893.23
2021-08-10,3160.51,3141.66,3141.66,880675.74443,3233.0/3051.22
2021-08-11,3141.14,3160.5,3160.5,732546.60433,3274.0/3120.27
2021-08-12,3160.4,3045.96,3045.96,737628.45808,3239.0/2979.29
2021-08-13,3046.11,3322.32,3322.32,579333.40323,3327.83/3033.8
2021-08-14,3322.33,3263.16,3263.16,486102.53787,3330.98/3200.0
2021-08-15,3263.16,3307.09,3307.09,565579.67765,3320.0/3111.13
2021-08-16,3307.35,3146.53,3146.53,635667.05422,3335.0/3135.22
2021-08-17,3147.18,3011.72,3011.72,804996.06971,3290.0/2991.89
2021-08-18,3011.73,3014.55,3014.55,625103.25568,3125.81/2950.0
2021-08-19,3014.18,3184.12,3184.12,634769.92174,3188.0/2958.33
2021-08-20,3184.11,3284.82,3284.82,558127.4554,3300.0/3177.16
2021-08-21,3284.81,3223.43,3223.43,421156.09084,3309.16/3207.0
2021-08-22,3223.36,3238.0,3238.0,406479.07654,3272.0/3126.42
2021-08-23,3238.0,3321.28,3321.28,602103.44614,3377.89/3230.02
2021-08-24,3321.28,3170.62,3170.62,540480.07853,3357.85/3147.31
2021-08-25,3170.63,3226.87,3226.87,483697.69444,3248.0/3080.0
2021-08-26,3226.88,3093.2,3093.2,442298.47372,3250.0/3053.3
2021-08-27,3093.06,3273.45,3273.45,451027.80711,3280.0/3060.18
2021-08-28,3273.89,3244.48,3244.48,262360.34921,3287.0/3210.31
2021-08-29,3244.75,3223.47,3223.47,335806.7827,3285.0/3152.34
2021-08-30,3223.47,3229.64,3229.64,625347.27541,3347.95/3143.0
2021-08-31,3229.14,3429.2,3429.2,863071.13092,3476.0/3188.77
2021-09-01,3429.19,3826.82,3826.82,845759.95868,3842.0/3382.22
2021-09-02,3826.82,3785.82,3785.82,525165.7996,3836.8/3717.04
2021-09-03,3785.82,3938.11,3938.11,655903.75739,4027.88/3705.05
2021-09-04,3938.11,3885.52,3885.52,364478.1193,3970.0/3832.5
2021-09-05,3885.61,3950.29,3950.29,365759.8597,3980.0/3830.0
2021-09-06,3950.28,3926.77,3926.77,397768.5783,3970.0/3864.3
2021-09-07,3926.67,3434.57,3434.57,1203536.00209,3947.15/3005.0
2021-09-08,3434.84,3499.0,3499.0,780611.7657,3560.0/3215.16
2021-09-09,3499.01,3424.93,3424.93,628553.8831,3567.06/3390.4
2021-09-10,3424.94,3208.86,3208.86,633026.2659,3514.11/3150.0
2021-09-11,3208.85,3267.21,3267.21,413524.1761,3348.37/3200.0
2021-09-12,3267.1,3404.21,3404.21,408858.9595,3474.16/3231.1
2021-09-13,3404.3,3285.35,3285.35,647855.7199,3430.3/3108.49
2021-09-14,3285.09,3434.37,3434.37,373634.9026,3437.05/3269.95
2021-09-15,3434.37,3613.55,3613.55,428507.5278,3616.16/3357.78
